Nama Provinsi,Tahun,Tingkat Pengangguran
KALIMANTAN UTARA,2011,
KALIMANTAN UTARA,2012,
KALIMANTAN UTARA,2013,
KALIMANTAN UTARA,2014,
KALIMANTAN UTARA,2015,5.68
KALIMANTAN UTARA,2016,5.23
KALIMANTAN UTARA,2017,5.54
KALIMANTAN UTARA,2018,5.11
KALIMANTAN UTARA,2019,4.49
KALIMANTAN UTARA,2020,4.97
KALIMANTAN UTARA,2021,4.58
KALIMANTAN UTARA,2022,4.33
KALIMANTAN UTARA,2023,4.01
KALIMANTAN UTARA,2024,3.9
KEPULAUAN BANGKA BELITUNG,1986,
KEPULAUAN BANGKA BELITUNG,1987,
KEPULAUAN BANGKA BELITUNG,1988,
KEPULAUAN BANGKA BELITUNG,1989,
KEPULAUAN BANGKA BELITUNG,1990,
KEPULAUAN BANGKA BELITUNG,1991,
KEPULAUAN BANGKA BELITUNG,1992,
KEPULAUAN BANGKA BELITUNG,1993,
KEPULAUAN BANGKA BELITUNG,1994,
KEPULAUAN BANGKA BELITUNG,1996,
KEPULAUAN BANGKA BELITUNG,1997,
KEPULAUAN BANGKA BELITUNG,1998,
KEPULAUAN BANGKA BELITUNG,1999,
KEPULAUAN BANGKA BELITUNG,2000,
KEPULAUAN BANGKA BELITUNG,2001,7.08
KEPULAUAN BANGKA BELITUNG,2002,5.23
KEPULAUAN BANGKA BELITUNG,2003,7.37
KEPULAUAN BANGKA BELITUNG,2004,7.14
KEPULAUAN BANGKA BELITUNG,2005,7.19
KEPULAUAN BANGKA BELITUNG,2006,8.99
KEPULAUAN BANGKA BELITUNG,2007,6.49
KEPULAUAN BANGKA BELITUNG,2008,5.99
KEPULAUAN BANGKA BELITUNG,2009,6.14
KEPULAUAN BANGKA BELITUNG,2010,5.63
KEPULAUAN BANGKA BELITUNG,2011,3.86
KEPULAUAN BANGKA BELITUNG,2012,3.43
KEPULAUAN BANGKA BELITUNG,2013,3.65
KEPULAUAN BANGKA BELITUNG,2014,5.14
KEPULAUAN BANGKA BELITUNG,2015,6.29
KEPULAUAN BANGKA BELITUNG,2016,2.6
KEPULAUAN BANGKA BELITUNG,2017,3.78
KEPULAUAN BANGKA BELITUNG,2018,3.61
KEPULAUAN BANGKA BELITUNG,2019,3.58
KEPULAUAN BANGKA BELITUNG,2020,5.25
KEPULAUAN BANGKA BELITUNG,2021,5.03
KEPULAUAN BANGKA BELITUNG,2022,4.77
KEPULAUAN BANGKA BELITUNG,2023,4.56
KEPULAUAN BANGKA BELITUNG,2024,4.63
KEPULAUAN RIAU,1986,
KEPULAUAN RIAU,1987,
KEPULAUAN RIAU,1988,
KEPULAUAN RIAU,1989,
KEPULAUAN RIAU,1990,
KEPULAUAN RIAU,1991,
KEPULAUAN RIAU,1992,
KEPULAUAN RIAU,1993,
KEPULAUAN RIAU,1994,
KEPULAUAN RIAU,1996,
KEPULAUAN RIAU,1997,
KEPULAUAN RIAU,1998,
KEPULAUAN RIAU,1999,
KEPULAUAN RIAU,2000,
KEPULAUAN RIAU,2001,
KEPULAUAN RIAU,2002,
KEPULAUAN RIAU,2003,
KEPULAUAN RIAU,2004,
KEPULAUAN RIAU,2005,
KEPULAUAN RIAU,2006,12.24
KEPULAUAN RIAU,2007,9.01
KEPULAUAN RIAU,2008,8.01
KEPULAUAN RIAU,2009,8.11
KEPULAUAN RIAU,2010,6.9
KEPULAUAN RIAU,2011,5.38
KEPULAUAN RIAU,2012,5.08
KEPULAUAN RIAU,2013,5.63
KEPULAUAN RIAU,2014,6.69
KEPULAUAN RIAU,2015,6.2
KEPULAUAN RIAU,2016,7.69
KEPULAUAN RIAU,2017,7.16
KEPULAUAN RIAU,2018,8.04
KEPULAUAN RIAU,2019,7.5
KEPULAUAN RIAU,2020,10.34
KEPULAUAN RIAU,2021,9.91
KEPULAUAN RIAU,2022,8.23
KEPULAUAN RIAU,2023,6.8
KEPULAUAN RIAU,2024,6.39
LAMPUNG,1986,1.28
LAMPUNG,1987,1.39
LAMPUNG,1988,1.03
LAMPUNG,1989,1.24
LAMPUNG,1990,0.86
LAMPUNG,1991,0.89
LAMPUNG,1992,1.21
LAMPUNG,1993,1.42
LAMPUNG,1994,3.29
LAMPUNG,1996,4.22
LAMPUNG,1997,3.44
LAMPUNG,1998,4.28
LAMPUNG,1999,4.58
LAMPUNG,2000,5.24
LAMPUNG,2001,6.39
LAMPUNG,2002,8.32
LAMPUNG,2003,9.14
LAMPUNG,2004,7.38
LAMPUNG,2005,8.47
LAMPUNG,2006,9.13
LAMPUNG,2007,7.58
LAMPUNG,2008,7.15
LAMPUNG,2009,6.62
LAMPUNG,2010,5.57
LAMPUNG,2011,6.38
LAMPUNG,2012,5.2
LAMPUNG,2013,5.69
LAMPUNG,2014,4.79
LAMPUNG,2015,5.14
LAMPUNG,2016,4.62
LAMPUNG,2017,4.33
LAMPUNG,2018,4.04
LAMPUNG,2019,4.03
LAMPUNG,2020,4.67
LAMPUNG,2021,4.69
LAMPUNG,2022,4.52
LAMPUNG,2023,4.23
LAMPUNG,2024,4.19
MALUKU,1986,3.01
MALUKU,1987,4.09
MALUKU,1988,2.94
MALUKU,1989,2.06
MALUKU,1990,2.37
MALUKU,1991,3.07
MALUKU,1992,3.28
MALUKU,1993,2.99
MALUKU,1994,4.03
MALUKU,1996,5.55
MALUKU,1997,5.61
MALUKU,1998,3.7
MALUKU,1999,4.7
MALUKU,2000,
MALUKU,2001,11.28
